0,3850,3,1,2,1750000
2,7420,4,2,3,13300000
3,8960,4,4,4,12250000
2,9960,3,2,2,12250000
3,7500,4,2,2,12215000
2,7420,4,1,2,11410000
2,7500,3,3,1,10850000
2,8580,4,3,4,10150000
0,16200,5,3,2,10150000
2,8100,4,1,2,9870000
1,5750,3,2,4,9800000
2,13200,3,1,2,9800000
2,6000,4,3,2,9681000
1,6550,4,2,2,9310000
2,3500,4,2,2,9240000
0,7800,3,2,2,9240000
2,6000,4,1,2,9100000
1,6600,4,2,2,9100000
2,8500,3,2,4,8960000
2,4600,3,2,2,8890000
1,6420,3,2,2,8855000
2,4320,3,1,2,8750000
2,7155,3,2,1,8680000
1,8050,3,1,1,8645000
1,4560,3,2,2,8645000
2,8800,3,2,2,8575000
2,6540,4,2,2,8540000
0,6000,3,2,4,8463000
1,8875,3,1,1,8400000
2,7950,5,2,2,8400000
1,5500,4,2,2,8400000
2,7475,3,2,4,8400000
2,7000,3,1,4,8400000
1,4880,4,2,2,8295000
1,5960,3,3,2,8190000
1,6840,5,1,2,8120000
2,7000,3,2,4,8080940
1,7482,3,2,3,8043000
2,9000,4,2,4,7980000
2,6000,3,1,4,7962500
1,6000,4,2,4,7910000
0,6550,3,1,2,7875000
0,6360,3,2,4,7840000
2,6480,3,2,4,7700000
2,6000,4,2,4,7700000
1,6000,4,2,4,7560000
0,6000,3,2,3,7560000
1,6000,3,2,4,7525000
3,6600,3,1,4,7490000
1,4300,3,2,2,7455000
